Date,Open,High,Low,Close,Volume,Open Interest,diffBwOpenAndLow
2018-01-04T00:00:00+0530,25367.65,25490.35,25310.3,25462.6,0,0,57.35000000000218
2018-01-05T00:00:00+0530,25524.45,25643.35,25499.55,25601.85,0,0,24.900000000001455
2018-01-11T00:00:00+0530,25628.2,25694.65,25532.25,25660.9,0,0,95.95000000000073
2018-01-12T00:00:00+0530,25732.4,25775.15,25557.6,25749.05,0,0,174.8000000000029
2018-01-15T00:00:00+0530,25858.15,26091.8,25842.95,26069.2,0,0,15.200000000000728
2018-01-17T00:00:00+0530,25946.15,26335.85,25922.3,26289.1,0,0,23.850000000002183
2018-01-19T00:00:00+0530,26615.65,26957.85,26433.55,26909.5,0,0,182.10000000000218
2018-01-22T00:00:00+0530,26940.5,27074.9,26841.2,27041.2,0,0,99.29999999999927
2018-01-23T00:00:00+0530,27089.95,27422.05,27066.15,27390.6,0,0,23.799999999999272
2018-01-24T00:00:00+0530,27310.15,27479.25,27219.45,27398.55,0,0,90.70000000000073
2018-01-25T00:00:00+0530,27414.1,27522.85,27151.75,27445.65,0,0,262.34999999999854
2018-01-29T00:00:00+0530,27446.1,27652.05,27407.4,27498.45,0,0,38.69999999999709
2018-01-31T00:00:00+0530,27136.25,27455.75,27116.95,27379.45,0,0,19.299999999999272
2018-02-05T00:00:00+0530,25968.15,26215.1,25917.55,26098.75,0,0,50.60000000000218
2018-02-06T00:00:00+0530,25140.1,26140.6,25023.85,25811.3,0,0,116.25
2018-02-08T00:00:00+0530,25759.85,26126.4,25637.4,25920.65,0,0,122.44999999999709
2018-02-12T00:00:00+0530,25530.1,25757.85,25485.4,25701.6,0,0,44.69999999999709
2018-02-15T00:00:00+0530,25360.9,25615.15,25295.15,25424.35,0,0,65.75
2018-02-22T00:00:00+0530,24812.7,24987.05,24781.7,24955.2,0,0,31
2018-02-23T00:00:00+0530,25002.25,25345.15,24962.85,25302.5,0,0,39.400000000001455
2018-02-26T00:00:00+0530,25452,25722.15,25381.2,25687.9,0,0,70.79999999999927
2018-03-08T00:00:00+0530,24273.9,24534.5,24048.55,24477.65,0,0,225.35000000000218
